OrderID,Date,Customer,Product,Category,Quantity,UnitPrice,Discount,Revenue,City,Country,Salesperson,Year,Month,MonthName,YearMonth
109062,2023-01-01,William Miller,Ballpoint Pens (Box),Office Supplies,7,4.66,0.05,30.99,Osaka,Japan,Ivan Petrov,2023,1,January,2023-01
101897,2023-01-01,Dana Martinez,4K Monitor,Electronics,10,256.73,0.0,2567.3,London,United Kingdom,Alice Carter,2023,1,January,2023-01
101139,2023-01-01,John Whitehead,Printer Paper (Ream),Office Supplies,3,11.73,0.05,33.43,Osaka,Japan,Ivan Petrov,2023,1,January,2023-01
101571,2023-01-01,Tyler Harris,Air Fryer,Home & Kitchen,10,75.32,0.2,602.56,Sydney,Australia,Julia Romano,2023,1,January,2023-01
104524,2023-01-01,Jennifer Hernandez,Running Shoes,Apparel,1,74.26,0.1,66.83,Delhi,India,Hana Suzuki,2023,1,January,2023-01
109639,2023-01-01,Amy Silva,Desk Lamp,Furniture,9,42.44,0.0,381.96,Munich,Germany,George Okafor,2023,1,January,2023-01
109609,2023-01-01,Dennis Marshall,Standing Desk,Furniture,1,316.52,0.0,316.52,Barcelona,Spain,Alice Carter,2023,1,January,2023-01
101988,2023-01-01,Jennifer Jones,Usb-C Charger,Electronics,4,30.11,0.1,108.4,Berlin,Germany,Farah Haddad,2023,1,January,2023-01
103349,2023-01-01,Kirk Carter,Laptop Stand,Office Supplies,4,27.36,0.15,93.02,London,United Kingdom,Brian Nguyen,2023,1,January,2023-01
102225,2023-01-01,Michelle Ho,Winter Jacket,Apparel,4,77.27,0.05,293.63,Barcelona,Spain,Alice Carter,2023,1,January,2023-01
100715,2023-01-01,Kevin Oconnor,Office Chair,Furniture,10,259.75,0.2,2078.0,Tokyo,Japan,Hana Suzuki,2023,1,January,2023-01
103496,2023-01-02,Kirk Carter,Laptop Stand,Office Supplies,3,28.14,0.15,71.76,Delhi,India,Ivan Petrov,2023,1,January,2023-01
100105,2023-01-02,Breanna Rivas,Ballpoint Pens (Box),Office Supplies,7,3.81,0.2,21.34,Mumbai,India,Hana Suzuki,2023,1,January,2023-01
100354,2023-01-02,Jamie Smith,Standing Desk,Furniture,2,300.23,0.15,510.39,Houston,United States,Carla Mendes,2023,1,January,2023-01
102171,2023-01-02,Jason Rhodes,Running Shoes,Apparel,2,115.57,0.2,184.91,Tokyo,Japan,Julia Romano,2023,1,January,2023-01
100407,2023-01-02,Monica Anderson,Notebook Set,Office Supplies,5,12.34,0.0,61.7,Vancouver,Canada,George Okafor,2023,1,January,2023-01
109211,2023-01-02,Annette Melton,Wireless Mouse,Electronics,10,25.04,0.0,250.4,Osaka,Japan,Hana Suzuki,2023,1,January,2023-01
107996,2023-01-02,Jeremy Turner,Bluetooth Speaker,Electronics,8,76.83,0.2,491.71,Dubai,United Arab Emirates,Brian Nguyen,2023,1,January,2023-01
109901,2023-01-02,Christina Johnson,4K Monitor,Electronics,10,379.77,0.0,3797.7,Sydney,Australia,Carla Mendes,2023,1,January,2023-01
101116,2023-01-02,Rodney Evans,Coffee Maker,Home & Kitchen,6,74.13,0.05,422.54,Sao Paulo,Brazil,David Kim,2023,1,January,2023-01
107644,2023-01-02,Marie Thompson,Usb-C Charger,Electronics,10,41.52,0.15,352.92,Rio De Janeiro,Brazil,Alice Carter,2023,1,January,2023-01
106161,2023-01-02,Stephanie Elliott,Blender,Home & Kitchen,3,39.63,0.0,118.89,Lyon,France,Alice Carter,2023,1,January,2023-01
107828,2023-01-02,Joanna Pacheco,Ballpoint Pens (Box),Office Supplies,1,9.69,0.1,8.72,Delhi,India,Julia Romano,2023,1,January,2023-01
102847,2023-01-02,Samantha Terry,Cookware Set,Home & Kitchen,9,86.96,0.0,782.64,Paris,France,Alice Carter,2023,1,January,2023-01
109806,2023-01-03,Katie Suarez,Bluetooth Speaker,Electronics,7,30.76,0.15,183.02,Osaka,Japan,David Kim,2023,1,January,2023-01
